2019-12-01 06:49:47,179 INFO  Logger.cs: 70 - 
2019-12-01 07:01:47,369 INFO  ExportHelperExtension.cs: 1155 - Found 0 features of type [RefAxis] in 转头装配
2019-12-01 07:01:47,369 INFO  ExportHelperExtension.cs: 1158 - Proceeding through assembly components
2019-12-01 07:01:47,545 INFO  ExportHelperExtension.cs: 1170 - 2 components to check
2019-12-01 07:01:47,547 INFO  ExportHelperExtension.cs: 1134 - Retrieving features of type [RefAxis] from Intel_RealSense_Depth_Camera_D435_step-1
2019-12-01 07:01:47,548 INFO  ExportHelperExtension.cs: 1145 - Found 25 in Intel_RealSense_Depth_Camera_D435_step-1
2019-12-01 07:01:47,548 INFO  ExportHelperExtension.cs: 1155 - Found 0 features of type [RefAxis] in Intel_RealSense_Depth_Camera_D435_step-1
2019-12-01 07:01:47,549 INFO  ExportHelperExtension.cs: 1134 - Retrieving features of type [RefAxis] from 300无人机_neck-1
2019-12-01 07:01:47,550 INFO  ExportHelperExtension.cs: 1145 - Found 117 in 300无人机_neck-1
2019-12-01 07:01:47,551 INFO  ExportHelperExtension.cs: 1155 - Found 0 features of type [RefAxis] in 300无人机_neck-1
2019-12-01 07:01:47,786 INFO  ExportPropertyManager.cs: 542 - Unknown
2019-12-01 07:01:47,802 INFO  SwAddin.cs: 316 - Loading config tree
2019-12-01 07:01:47,807 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2019-12-01 07:01:47,809 INFO  ExportPropertyManager.cs: 542 - Unknown
2019-12-01 07:01:47,810 INFO  SwAddin.cs: 321 - Showing property manager
2019-12-01 07:02:25,923 INFO  ExportPropertyManager.cs: 1182 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2019-12-01 07:03:14,627 INFO  ExportPropertyManager.cs: 1064 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2019-12-01 07:03:26,395 INFO  ExportPropertyManager.cs: 1064 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2019-12-01 07:03:28,833 INFO  ExportPropertyManager.cs: 1064 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2019-12-01 07:04:35,945 INFO  ExportPropertyManager.cs: 454 - Configuration saved
2019-12-01 07:04:43,183 INFO  ExportPropertyManager.cs: 542 - Unknown
2019-12-01 07:04:45,382 INFO  ExportHelperExtension.cs: 338 - Creating joint head_Link
2019-12-01 07:04:45,387 INFO  ExportHelperExtension.cs: 1400 - Fixing components for uav_base
2019-12-01 07:04:45,388 INFO  ExportHelperExtension.cs: 1405 - Fixing 25
2019-12-01 07:04:45,389 INFO  ExportHelperExtension.cs: 1413 - Component 25 is already fixed
2019-12-01 07:04:45,588 INFO  ExportHelperExtension.cs: 834 - R1: 1, System.__ComObject, 1, 0
2019-12-01 07:04:45,589 INFO  ExportHelperExtension.cs: 847 - R2: 0, 0
2019-12-01 07:04:45,589 INFO  ExportHelperExtension.cs: 855 - L1: 0
2019-12-01 07:04:45,590 INFO  ExportHelperExtension.cs: 863 - L2: 0
2019-12-01 07:04:47,825 WARN  ExportHelperExtension.cs: 342 - Creating joint from parent uav_base to child head_Link failed
2019-12-01 07:04:48,051 INFO  ExportPropertyManager.cs: 1188 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2019-12-01 07:05:23,596 INFO  AssemblyExportForm.cs: 253 - Completing URDF export
2019-12-01 07:05:23,602 INFO  Serialization.cs: 275 - URDF Configuration found
